ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762716270.0352175,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716270.0352175,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716271.0352159,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716272.0352592,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716273.0352511,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762716273.0352511,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
