ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762484716.6949432,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,2,1,984,23526,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,2,2,10344,13644,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,2,3,13212,10546,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,1,1,788,23894,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,1,2,13644,10344,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,1,3,10314,13268,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,3,1,13268,10314,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484716.6949432,3,2,10546,13212,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,2,1,984,23526,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,2,2,10344,13644,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,2,3,13212,10546,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,1,1,788,23894,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,1,2,13644,10344,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,1,3,10314,13268,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484717.695962,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
