ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1758571384.6015637,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1758571384.6015637,3,1,5844,4350,61,46,0,0,0,0,46752000000.0,34800000000.0,61000000.0,46000000.0,0.0,0.0
1758571384.6015637,3,2,5094,5574,53,58,0,0,0,0,40752000000.0,44592000000.0,53000000.0,58000000.0,0.0,0.0
1758571384.6015637,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1758571384.6015637,1,1,920,10498,10,106,0,0,0,0,7360000000.0,83984000000.0,10000000.0,106000000.0,0.0,0.0
1758571384.6015637,1,2,6232,4984,63,53,0,0,0,0,49856000000.0,39872000000.0,63000000.0,53000000.0,0.0,0.0
1758571384.6015637,1,3,4350,5844,46,61,0,1,0,0,34800000000.0,46752000000.0,46000000.0,61000000.0,1000000.0,0.0
1758571384.6015637,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1758571384.6015637,2,1,1018,10160,11,105,0,0,0,0,8144000000.0,81280000000.0,11000000.0,105000000.0,0.0,0.0
1758571384.6015637,2,2,4984,6232,53,63,0,0,0,0,39872000000.0,49856000000.0,53000000.0,63000000.0,0.0,0.0
1758571384.6015637,2,3,5574,5094,58,53,0,0,0,0,44592000000.0,40752000000.0,58000000.0,53000000.0,0.0,0.0
1758571385.6884644,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1758571385.6884644,1,1,1116,52202,12,433,0,0,0,0,1442.6340732369451,306957.2009707835,1.840094481169573,300.8554476712252,0.0,0.0
1758571385.6884644,1,2,26936,26358,224,218,0,0,0,0,152389.26455253936,157320.71776207382,148.12760573415062,151.80779469648976,0.0,0.0
1758571385.6884644,1,3,26236,28398,217,237,0,1,0,0,161089.2312595091,166005.96371319419,157.3280781399985,161.92831434292242,0.0,0.0
1758571385.6884644,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1758571385.6884644,3,1,28398,26236,237,217,0,0,0,0,166005.96371319419,161089.2312595091,161.92831434292242,157.3280781399985,0.0,0.0
1758571385.6884644,3,2,26620,26826,222,225,0,0,0,0,158439.4952066249,156422.75165526307,155.4879836588289,153.64788917765935,0.0,0.0
1758571385.6884644,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
