ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762463120.6169384,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463120.6169384,1,1,298,4262,3,48,0,0,0,0,2384000000.0,34096000000.0,3000000.0,48000000.0,0.0,0.0
1762463120.6169384,1,2,1914,2272,22,26,0,0,0,0,15312000000.0,18176000000.0,22000000.0,26000000.0,0.0,0.0
1762463120.6169384,1,3,2408,1954,27,23,0,0,0,0,19264000000.0,15632000000.0,27000000.0,23000000.0,0.0,0.0
1762463120.6169384,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463120.6169384,2,1,580,3870,6,44,0,0,0,0,4640000000.0,30960000000.0,6000000.0,44000000.0,0.0,0.0
1762463120.6169384,2,2,2272,1914,26,22,1,0,0,0,18176000000.0,15312000000.0,26000000.0,22000000.0,1000000.0,0.0
1762463120.6169384,2,3,1718,2464,20,28,0,0,0,0,13744000000.0,19712000000.0,20000000.0,28000000.0,0.0,0.0
1762463120.6169384,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463120.6169384,3,1,1954,2408,23,27,1,0,0,0,15632000000.0,19264000000.0,23000000.0,27000000.0,1000000.0,0.0
1762463120.6169384,3,2,2464,1718,28,20,1,0,0,0,19712000000.0,13744000000.0,28000000.0,20000000.0,1000000.0,0.0
1762463122.6239932,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463122.6239932,1,1,3348,220040,38,2529,0,0,0,0,12157.116950682319,860078.1578309278,17.438487429257425,1236.139637485362,0.0,0.0
1762463122.6239932,1,2,113656,108398,1309,1245,0,0,0,0,445396.9056731619,423011.8667239711,641.2380948986945,607.3576050361372,0.0,0.0
1762463122.6239932,1,3,106224,115584,1219,1332,0,0,0,0,413804.34536132315,452922.3603626334,593.90505759071,652.1994298542277,0.0,0.0
1762463122.6239932,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463122.6239932,3,1,115584,106224,1332,1219,1,0,0,0,452922.3603626334,413804.34536132315,652.1994298542277,593.90505759071,0.0,0.0
1762463122.6239932,3,2,107434,112624,1233,1297,1,0,0,0,418404.1201026633,442064.6598466798,600.3822100644342,636.2556699189066,0.0,0.0
1762463122.6239932,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463122.6239932,2,1,5116,216840,58,2493,0,0,0,0,18080.2237666541,848885.6383563323,25.908609894896745,1220.195877550041,0.0,0.0
1762463122.6239932,2,2,108398,113656,1245,1309,1,0,0,0,423011.8667239711,445396.9056731619,607.3576050361372,641.2380948986945,0.0,0.0
1762463122.6239932,2,3,112624,107434,1297,1233,0,0,0,0,442064.6598466798,418404.1201026633,636.2556699189066,600.3822100644342,0.0,0.0
1762463124.630804,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463124.630804,2,1,8690,639856,99,7403,0,0,0,0,14247.48089091649,1686321.3140883967,20.430425172341078,2446.6679901510897,0.0,0.0
1762463124.630804,2,2,320380,330678,3706,3828,1,0,0,0,845050.2222211134,865141.8013174253,1226.3238133934485,1255.2253904665163,0.0,0.0
1762463124.630804,2,3,325934,324072,3774,3748,0,0,0,0,850344.1938560146,863611.0143386588,1234.2966622411914,1253.2321782545807,0.0,0.0
1762463124.630804,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463124.630804,3,1,330620,319462,3828,3694,1,0,0,0,857224.7624116167,850057.171297496,1243.764420247886,1233.3000561352235,0.0,0.0
1762463124.630804,3,2,324072,325934,3748,3774,1,0,0,0,863611.0143386588,850344.1938560146,1253.2321782545807,1234.2966622411914,0.0,0.0
1762463124.630804,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463124.630804,1,1,6640,641322,76,7418,0,0,0,0,13123.309203384746,1679408.8541374037,18.93551601338929,2436.2036260384275,0.0,0.0
1762463124.630804,1,2,330678,320380,3828,3706,0,0,0,0,865141.8013174253,845050.2222211134,1255.2253904665163,1226.3238133934485,0.0,0.0
1762463124.630804,1,3,319462,330620,3694,3828,0,0,0,0,850057.171297496,857224.7624116167,1233.3000561352235,1243.764420247886,0.0,0.0
1762463129.6490204,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463129.6490204,2,1,13500,1493478,154,17345,0,0,0,0,7668.06314256631,1360837.2964415257,10.96006946052877,1981.1820104832186,0.0,0.0
1762463129.6490204,2,2,748322,762284,8690,8856,1,0,0,0,682221.679284015,688062.7984845062,993.1815671140979,1001.949622682521,0.0,0.0
1762463129.6490204,2,3,754564,754930,8768,8765,0,0,0,0,683318.4833260286,686870.3429272007,995.1743070160122,999.7576087904152,0.0,0.0
1762463129.6490204,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762463129.6490204,3,1,761984,747266,8854,8676,1,0,0,0,687677.0040394956,682001.6807988436,1001.5510747021381,992.7830191337151,0.0,0.0
