ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762708099.6129022,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708099.6129022,2,1,984,24914,10,269,0,0,0,0,7872000000.0,199312000000.0,10000000.0,269000000.0,0.0,0.0
1762708099.6129022,2,2,14390,11006,154,121,1,0,0,0,115120000000.0,88048000000.0,154000000.0,121000000.0,1000000.0,0.0
1762708099.6129022,2,3,10554,14726,116,157,0,0,0,0,84432000000.0,117808000000.0,116000000.0,157000000.0,0.0,0.0
1762708099.6129022,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708099.6129022,1,1,788,25302,8,273,0,0,0,0,6304000000.0,202416000000.0,8000000.0,273000000.0,0.0,0.0
1762708099.6129022,1,2,11006,14390,121,154,0,0,0,0,88048000000.0,115120000000.0,121000000.0,154000000.0,0.0,0.0
1762708099.6129022,1,3,14470,11010,154,121,0,0,0,0,115760000000.0,88080000000.0,154000000.0,121000000.0,0.0,0.0
1762708099.6129022,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708099.6129022,3,1,11010,14470,121,154,1,0,0,0,88080000000.0,115760000000.0,121000000.0,154000000.0,1000000.0,0.0
1762708099.6129022,3,2,14726,10554,157,116,1,0,0,0,117808000000.0,84432000000.0,157000000.0,116000000.0,1000000.0,0.0
1762708100.61753,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,2,1,984,24914,10,269,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,2,2,14390,11006,154,121,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,2,3,10554,14726,116,157,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,1,1,788,25302,8,273,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,1,2,11006,14390,121,154,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,1,3,14470,11010,154,121,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,3,1,11010,14470,121,154,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708100.61753,3,2,14726,10554,157,116,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708101.6240053,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708101.6240053,1,1,5792,359952,66,4152,0,0,0,0,39774.45206270907,2659976.0956805735,57.62685400772197,3854.044253378509,0.0,0.0
1762708101.6240053,1,2,177152,186758,2052,2148,0,0,0,0,1320616.729098893,1370072.4926348992,1918.576811877778,1981.171498127545,0.0,0.0
1762708101.6240053,1,3,184874,180322,2125,2089,0,0,0,0,1354461.576597497,1345781.7801041962,1958.3194698141378,1955.338770468911,0.0,0.0
1762708101.6240053,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708101.6240053,3,1,180838,184874,2095,2125,1,0,0,0,1349883.2224032285,1354461.576597497,1961.300169159365,1958.3194698141378,0.0,0.0
1762708101.6240053,3,2,188714,177714,2170,2059,1,0,0,0,1382949.1138062798,1328676.5401283868,2000.0492606473158,1930.499609258686,0.0,0.0
1762708101.6240053,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708101.6240053,2,1,6098,358812,69,4140,0,0,0,0,40648.79053730898,2653998.7999269445,58.620420456130965,3846.095721791237,0.0,0.0
1762708101.6240053,2,2,187704,177840,2159,2060,1,0,0,0,1377591.8035164587,1326085.3188309362,1992.100729060044,1926.52534346505,0.0,0.0
1762708101.6240053,2,3,177714,188714,2059,2170,0,0,0,0,1328676.5401283868,1382949.1138062798,1930.499609258686,2000.0492606473158,0.0,0.0
1762708102.6282573,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,1,1,5792,359952,66,4152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,1,2,177152,186758,2052,2148,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,1,3,184874,180322,2125,2089,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,3,1,180838,184874,2095,2125,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,3,2,188714,177714,2170,2059,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,2,1,6098,358812,69,4140,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,2,2,187704,177840,2159,2060,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708102.6282573,2,3,177714,188714,2059,2170,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762708103.6335845,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
