ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762790934.4831495,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790934.4831495,3,1,1470818,1461554,17115,17002,1,0,0,0,11766544000000.0,11692432000000.0,17115000000.0,17002000000.0,1000000.0,0.0
1762790934.4831495,3,2,1466668,1465934,17062,17058,1,0,0,0,11733344000000.0,11727472000000.0,17062000000.0,17058000000.0,1000000.0,0.0
1762790934.4831495,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790934.4831495,1,1,16384,2908480,188,33831,0,0,0,0,131072000000.0,23267840000000.0,188000000.0,33831000000.0,0.0,0.0
1762790934.4831495,1,2,1470222,1463240,17106,17024,0,0,0,0,11761776000000.0,11705920000000.0,17106000000.0,17024000000.0,0.0,0.0
1762790934.4831495,1,3,1461554,1470818,17002,17115,0,0,0,0,11692432000000.0,11766544000000.0,17002000000.0,17115000000.0,0.0,0.0
1762790934.4831495,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790934.4831495,2,1,19316,2902638,220,33768,0,0,0,0,154528000000.0,23221104000000.0,220000000.0,33768000000.0,0.0,0.0
1762790934.4831495,2,2,1463240,1470222,17024,17106,1,0,0,0,11705920000000.0,11761776000000.0,17024000000.0,17106000000.0,1000000.0,0.0
1762790934.4831495,2,3,1465934,1466668,17058,17062,0,0,0,0,11727472000000.0,11733344000000.0,17058000000.0,17062000000.0,0.0,0.0
1762790937.4958732,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,1,1,592,52852,6,582,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,1,2,31128,21556,346,235,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,1,3,21418,30214,233,336,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,3,1,30214,21418,336,233,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,3,2,22018,30208,240,336,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,2,1,1390,51760,15,570,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,2,2,21556,31128,235,346,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790937.4958732,2,3,30208,22018,336,240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790938.4999611,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762790938.4999611,2,1,7032,433790,80,5002,0,0,0,0,44952.23862185233,3043797.1855204264,64.73536667893481,4413.956078785216,0.0,0.0
1762790938.4999611,2,2,214314,226862,2472,2616,1,0,0,0,1535785.822805922,1559496.8937273386,2227.892542473495,2260.758190172031,0.0,0.0
1762790938.4999611,2,3,223274,217604,2575,2509,0,0,0,0,1538239.7911674127,1558317.7141250637,2229.88439990977,2259.7622614538936,0.0,0.0
