ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762717289.9184244,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717289.9184244,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717290.9184203,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717291.9184318,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717292.9184206,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762717293.918426,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
