ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762485170.5036602,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,1,1,788,14818,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,1,2,8776,6668,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,1,3,6498,8298,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,3,1,8298,6498,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,3,2,6804,8324,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,2,1,984,15048,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,2,2,6668,8776,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485170.5036602,2,3,8324,6804,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,1,1,788,14818,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,1,2,8776,6668,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,1,3,6498,8298,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,3,1,8298,6498,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,3,2,6804,8324,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,2,1,984,15048,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,2,2,6668,8776,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485171.5047207,2,3,8324,6804,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,1,1,6394,317598,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,1,2,163428,160982,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,1,3,155372,167338,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,3,1,167858,155692,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,3,2,160286,163384,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,2,1,4280,319930,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,2,2,160982,163428,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485172.5047529,2,3,163384,160286,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,1,1,6394,317598,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,1,2,163428,160982,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,1,3,155372,167338,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,3,1,167858,155692,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,3,2,160286,163384,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,2,1,4280,319930,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,2,2,160982,163428,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485173.5039387,2,3,163384,160286,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,3,1,384428,368196,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,3,2,373002,379892,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,2,1,7314,743290,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,2,2,371706,381554,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,2,3,379892,373002,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,1,1,9514,740832,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,1,2,381554,371706,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485174.5047455,1,3,368196,384428,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,3,1,384428,368196,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,3,2,373002,379892,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,2,1,7314,743290,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,2,2,371706,381554,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,2,3,379892,373002,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,1,1,9514,740832,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,1,2,381554,371706,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485175.50468,1,3,368196,384428,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,3,1,600398,586730,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,3,2,591212,596312,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,1,1,11844,1171014,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,1,2,597156,590388,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,1,3,586730,600398,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,2,1,9644,1172816,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,2,2,590388,597156,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485176.5047443,2,3,596312,591212,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,3,1,600398,586730,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,3,2,591212,596312,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,1,1,11844,1171014,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,1,2,597156,590388,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,1,3,586730,600398,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,2,1,9644,1172816,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,2,2,590388,597156,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485177.504649,2,3,596312,591212,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,3,1,815408,803642,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,3,2,807608,811814,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,1,1,13674,1598892,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,1,2,812720,807018,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,1,3,803642,815408,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,2,1,11474,1600610,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,2,2,807018,812720,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485178.50471,2,3,811814,807608,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485179.504693,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485179.504693,3,1,815408,803642,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485179.504693,3,2,807608,811814,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762485179.504693,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485179.504693,1,1,13674,1598892,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762485179.504693,1,2,812720,807018,0,0,0,0,0,0,0.0,0.0,0.0,0.0
