ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762484535.1643684,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484535.1643684,3,1,153348,146192,1767,1682,1,0,0,0,1226784000000.0,1169536000000.0,1767000000.0,1682000000.0,1000000.0,0.0
1762484535.1643684,3,2,146012,148402,1680,1709,1,0,0,0,1168096000000.0,1187216000000.0,1680000000.0,1709000000.0,1000000.0,0.0
1762484535.1643684,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484535.1643684,1,1,6394,295946,73,3405,0,0,0,0,51152000000.0,2367568000000.0,73000000.0,3405000000.0,0.0,0.0
1762484535.1643684,1,2,149568,151572,1722,1745,0,0,0,0,1196544000000.0,1212576000000.0,1722000000.0,1745000000.0,0.0,0.0
1762484535.1643684,1,3,146192,153348,1682,1767,0,0,0,0,1169536000000.0,1226784000000.0,1682000000.0,1767000000.0,0.0,0.0
1762484535.1643684,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484535.1643684,2,1,1528,299772,16,3450,0,0,0,0,12224000000.0,2398176000000.0,16000000.0,3450000000.0,0.0,0.0
1762484535.1643684,2,2,151572,149568,1745,1722,1,0,0,0,1212576000000.0,1196544000000.0,1745000000.0,1722000000.0,1000000.0,0.0
1762484535.1643684,2,3,148402,146012,1709,1680,0,0,0,0,1187216000000.0,1168096000000.0,1709000000.0,1680000000.0,0.0,0.0
1762484536.1689482,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,3,1,153348,146192,1767,1682,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,3,2,146012,148402,1680,1709,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,1,1,6394,295946,73,3405,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,1,2,149568,151572,1722,1745,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,1,3,146192,153348,1682,1767,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,2,1,1528,299772,16,3450,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,2,2,151572,149568,1745,1722,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484536.1689482,2,3,148402,146012,1709,1680,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484537.1742513,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484537.1742513,1,1,10546,718252,121,8306,0,0,0,0,33040.77997090985,3360626.1142569976,47.74679186547666,4875.146394431273,0.0,0.0
1762484537.1742513,1,2,360038,366198,4165,4236,0,0,0,0,1674877.8806544787,1707950.4918199654,2430.1127609866558,2477.8595528521323,0.0,0.0
1762484537.1742513,1,3,358250,368704,4143,4267,0,0,0,0,1687514.8649015415,1713759.6848302651,2448.0178079362095,2486.8120763269094,0.0,0.0
1762484537.1742513,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484537.1742513,2,1,1990,722828,21,8360,0,0,0,0,3676.5029736417027,3366594.463240182,4.9736241526538185,4884.09891790605,0.0,0.0
1762484537.1742513,2,2,367116,360038,4247,4165,1,0,0,0,1715255.7509753834,1674877.8806544787,2488.8015259879708,2430.1127609866558,0.0,0.0
1762484537.1742513,2,3,363434,362830,4205,4196,0,0,0,0,1711181.3580695293,1725393.986448153,2482.833177004786,2502.7276736154013,0.0,0.0
1762484537.1742513,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484537.1742513,3,1,368704,358250,4267,4143,1,0,0,0,1713759.6848302651,1687514.8649015415,2486.8120763269094,2448.0178079362095,0.0,0.0
1762484537.1742513,3,2,362830,363434,4196,4205,1,0,0,0,1725393.986448153,1711181.3580695293,2502.7276736154013,2482.833177004786,0.0,0.0
1762484538.1826835,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,1,1,10546,718252,121,8306,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,1,2,360038,366198,4165,4236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,1,3,358250,368704,4143,4267,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,2,1,1990,722828,21,8360,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,2,2,367116,360038,4247,4165,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,2,3,363434,362830,4205,4196,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,3,1,368704,358250,4267,4143,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484538.1826835,3,2,362830,363434,4196,4205,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484542.1964834,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484542.1964834,3,1,806784,797496,9377,9268,1,0,0,0,873147.6611367312,875471.643452485,1273.1078080512395,1276.8449151198831,0.0,0.0
1762484542.1964834,3,2,802056,801818,9321,9319,1,0,0,0,875431.7809770862,873753.570762794,1276.8449151198831,1274.1043699362112,0.0,0.0
1762484542.1964834,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484542.1964834,1,1,16340,1586300,188,18431,0,0,0,0,11548.159123051088,1730127.102251683,16.69241157327457,2522.5472713344034,0.0,0.0
1762484542.1964834,1,2,797532,806784,9268,9377,0,0,0,0,871979.6906075445,878142.429304209,1271.3638247525394,1280.8311626597697,0.0,0.0
1762484542.1964834,1,3,797496,806784,9268,9377,0,0,0,0,875471.643452485,873147.6611367312,1276.8449151198831,1273.1078080512395,0.0,0.0
1762484542.1964834,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484542.1964834,2,1,2774,1598134,29,18571,0,0,0,0,1562.6090356354941,1744593.194573931,1.9931237699432323,2543.973351861293,0.0,0.0
1762484542.1964834,2,2,806784,797532,9377,9268,1,0,0,0,876312.741683401,871979.6906075445,1278.0906174760978,1271.3638247525394,0.0,0.0
1762484542.1964834,2,3,801818,802056,9319,9321,0,0,0,0,873753.570762794,875431.7809770862,1274.1043699362112,1276.8449151198831,0.0,0.0
1762484543.2037697,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484543.2037697,3,1,1023186,1017370,11902,11833,1,0,0,0,1718693.0691664703,1746268.1485841558,2506.7351501172225,2546.4458059606636,0.0,0.0
1762484543.2037697,3,2,1021840,1019064,11885,11854,1,0,0,0,1745553.356778974,1725396.2278728434,2545.453039564578,2516.662814078083,0.0,0.0
1762484543.2037697,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484543.2037697,1,1,18686,2019906,215,23490,0,0,0,0,18632.23972174259,3443755.727530229,26.804692694322778,5022.405197799219,0.0,0.0
1762484543.2037697,1,2,1014194,1027748,11796,11956,0,0,0,0,1720758.0232703295,1754925.0715580261,2509.713449305481,2560.3445355058684,0.0,0.0
1762484543.2037697,1,3,1017370,1023186,11833,11902,0,0,0,0,1746268.1485841558,1718693.0691664703,2546.4458059606636,2506.7351501172225,0.0,0.0
1762484543.2037697,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484543.2037697,2,1,3166,2033536,33,23651,0,0,0,0,3113.3154181257864,3458019.795109193,3.971065584344115,5043.253292117026,0.0,0.0
1762484543.2037697,2,2,1027748,1014194,11956,11796,1,0,0,0,1754925.0715580261,1720758.0232703295,2560.3445355058684,2509.713449305481,0.0,0.0
1762484543.2037697,2,3,1019064,1021840,11854,11885,0,0,0,0,1725396.2278728434,1745553.356778974,2516.662814078083,2545.453039564578,0.0,0.0
1762484544.2109082,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,3,1,1023186,1017370,11902,11833,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,3,2,1021840,1019064,11885,11854,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,1,1,18686,2019906,215,23490,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,1,2,1014194,1027748,11796,11956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,1,3,1017370,1023186,11833,11902,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,2,1,3166,2033536,33,23651,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,2,2,1027748,1014194,11956,11796,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484544.2109082,2,3,1019064,1021840,11854,11885,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484545.2165153,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484545.2165153,3,1,1242282,1237230,14459,14398,1,0,0,0,1742994.8047764937,1749072.7250984039,2542.742516872452,2550.6979099639575,0.0,0.0
1762484545.2165153,3,2,1241876,1237316,14452,14401,1,0,0,0,1750472.8742825089,1736280.453007263,2552.686758236834,2532.79827550807,0.0,0.0
1762484545.2165153,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484545.2165153,1,1,20774,2455922,239,28576,0,0,0,0,16610.860775063527,3468678.674185871,23.866179274516565,5057.641157924635,0.0,0.0
1762484545.2165153,1,2,1231690,1248384,14334,14530,0,0,0,0,1730266.1758300848,1755246.110137412,2523.8484582801266,2559.6477271919016,0.0,0.0
1762484545.2165153,1,3,1237230,1242282,14398,14459,0,0,0,0,1749072.7250984039,1742994.8047764937,2550.6979099639575,2542.742516872452,0.0,0.0
1762484545.2165153,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484545.2165153,2,1,3432,2470880,36,28753,0,0,0,0,2116.1345623404686,3479243.4362113904,2.9832724093145706,5073.551944107646,0.0,0.0
1762484545.2165153,2,2,1248384,1231690,14530,14334,1,0,0,0,1755246.110137412,1730266.1758300848,2559.6477271919016,2523.8484582801266,0.0,0.0
1762484545.2165153,2,3,1237316,1241876,14401,14452,0,0,0,0,1736280.453007263,1750472.8742825089,2532.79827550807,2552.686758236834,0.0,0.0
1762484548.2350075,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762484548.2350075,3,1,1451986,1449236,16909,16877,1,0,0,0,555784.7682581237,561885.8275442136,811.6635127563154,821.2709584175127,0.0,0.0
1762484548.2350075,3,2,1454312,1446648,16936,16847,1,0,0,0,563025.4693743694,554798.8455585471,822.9274145659949,810.3383478375296,0.0,0.0
