ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762715442.247103,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762715442.247103,1,1,4674,305034,53,3495,0,0,0,0,37392000000.0,2440272000000.0,53000000.0,3495000000.0,0.0,0.0
1762715442.247103,1,2,157796,155466,1810,1782,0,0,0,0,1262368000000.0,1243728000000.0,1810000000.0,1782000000.0,0.0,0.0
1762715442.247103,1,3,152928,155762,1752,1787,0,0,0,0,1223424000000.0,1246096000000.0,1752000000.0,1787000000.0,0.0,0.0
1762715442.247103,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762715442.247103,3,1,155762,153742,1787,1761,1,0,0,0,1246096000000.0,1229936000000.0,1787000000.0,1761000000.0,1000000.0,0.0
1762715442.247103,3,2,157922,154636,1810,1774,1,0,0,0,1263376000000.0,1237088000000.0,1810000000.0,1774000000.0,1000000.0,0.0
1762715442.247103,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762715442.247103,2,1,5926,307640,67,3526,0,0,0,0,47408000000.0,2461120000000.0,67000000.0,3526000000.0,0.0,0.0
1762715442.247103,2,2,155466,157796,1782,1810,1,0,0,0,1243728000000.0,1262368000000.0,1782000000.0,1810000000.0,1000000.0,0.0
1762715442.247103,2,3,154636,157922,1774,1810,0,0,0,0,1237088000000.0,1263376000000.0,1774000000.0,1810000000.0,0.0,0.0
1762715443.2512572,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762715443.2512572,1,1,4674,305034,53,3495,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762715443.2512572,1,2,157796,155466,1810,1782,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762715443.2512572,1,3,152928,155762,1752,1787,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
