ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762708285.1269,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708285.1269,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708286.1258957,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762708287.1259375,2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
