ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762714596.1271467,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714596.1271467,3,1,181460,185050,2093,2133,1,0,0,0,1451680000000.0,1480400000000.0,2093000000.0,2133000000.0,1000000.0,0.0
1762714596.1271467,3,2,186946,176400,2155,2034,1,0,0,0,1495568000000.0,1411200000000.0,2155000000.0,2034000000.0,1000000.0,0.0
1762714596.1271467,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714596.1271467,1,1,6308,358506,72,4131,0,0,0,0,50464000000.0,2868048000000.0,72000000.0,4131000000.0,0.0,0.0
1762714596.1271467,1,2,179658,185828,2071,2143,0,0,0,0,1437264000000.0,1486624000000.0,2071000000.0,2143000000.0,0.0,0.0
1762714596.1271467,1,3,183646,181460,2117,2093,0,0,0,0,1469168000000.0,1451680000000.0,2117000000.0,2093000000.0,0.0,0.0
1762714596.1271467,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714596.1271467,2,1,5582,357460,63,4120,0,0,0,0,44656000000.0,2859680000000.0,63000000.0,4120000000.0,0.0,0.0
1762714596.1271467,2,2,185828,179658,2143,2071,1,0,0,0,1486624000000.0,1437264000000.0,2143000000.0,2071000000.0,1000000.0,0.0
1762714596.1271467,2,3,176400,186946,2034,2155,0,0,0,0,1411200000000.0,1495568000000.0,2034000000.0,2155000000.0,0.0,0.0
1762714597.143252,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,3,1,181460,185050,2093,2133,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,3,2,186946,176400,2155,2034,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,1,1,6308,358506,72,4131,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,1,2,179658,185828,2071,2143,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,1,3,183646,181460,2117,2093,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,2,1,5582,357460,63,4120,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,2,2,185828,179658,2143,2071,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714597.143252,2,3,176400,186946,2034,2155,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714599.1502256,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714599.1502256,2,1,8726,792842,99,9175,0,0,0,0,12532.30147241733,1735476.6156692118,17.93745439754389,2518.717554988454,0.0,0.0
1762714599.1502256,2,2,405588,398594,4695,4613,1,0,0,0,875985.5507564988,872701.0035512598,1271.566211737,1266.58358551546,0.0,0.0
1762714599.1502256,2,3,394976,408428,4572,4727,0,0,0,0,871266.0071994562,882849.6166392923,1264.590535026844,1281.53146418008,0.0,0.0
1762714599.1502256,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714599.1502256,3,1,400266,403176,4634,4666,1,0,0,0,872182.8104242196,869472.2617597018,1266.085322893306,1262.0992219160742,0.0,0.0
1762714599.1502256,3,2,408428,394976,4727,4572,1,0,0,0,882849.6166392923,871266.0071994562,1281.53146418008,1264.590535026844,0.0,0.0
1762714599.1502256,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714599.1502256,1,1,9084,791992,104,9164,0,0,0,0,11065.416312795964,1727918.9682163799,15.944403908927901,2507.7557773010662,0.0,0.0
1762714599.1502256,1,2,398594,405588,4613,4695,0,0,0,0,872701.0035512598,875985.5507564988,1266.58358551546,1271.566211737,0.0,0.0
1762714599.1502256,1,3,403176,400266,4666,4634,0,0,0,0,875068.7475317355,872182.8104242196,1270.0714238705382,1266.085322893306,0.0,0.0
1762714600.1581836,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714600.1581836,2,1,11252,1230668,128,14274,0,0,0,0,20048.455686118305,3474954.5365124433,28.771041909017754,5058.742851520053,0.0,0.0
1762714600.1581836,2,2,627038,618780,7274,7178,1,0,0,0,1757613.0291729604,1747580.864490754,2558.6385201157514,2544.7490516079497,0.0,0.0
1762714600.1581836,2,3,614154,630832,7125,7317,0,0,0,0,1739580.5306302602,1765184.7737194994,2532.8437928869766,2569.5516739433097,0.0,0.0
1762714600.1581836,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714600.1581836,3,1,621168,624142,7207,7239,1,0,0,0,1753263.6413202318,1753771.59902566,2552.685890755265,2552.685890755265,0.0,0.0
1762714600.1581836,3,2,630832,614154,7317,7125,1,0,0,0,1765184.7737194994,1739580.5306302602,2569.5516739433097,2532.8437928869766,0.0,0.0
1762714600.1581836,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714600.1581836,1,1,11414,1230258,131,14267,0,0,0,0,18492.835213244514,3478446.745737262,26.786832122188944,5062.711271093711,0.0,0.0
1762714600.1581836,1,2,618780,627038,7178,7274,0,0,0,0,1747580.864490754,1757613.0291729604,2544.7490516079497,2558.6385201157514,0.0,0.0
1762714600.1581836,1,3,624142,621168,7239,7207,0,0,0,0,1753771.59902566,1753263.6413202318,2552.685890755265,2552.685890755265,0.0,0.0
1762714601.1632576,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,2,1,11252,1230668,128,14274,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,2,2,627038,618780,7274,7178,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,2,3,614154,630832,7125,7317,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,3,1,621168,624142,7207,7239,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,3,2,630832,614154,7317,7125,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,1,1,11414,1230258,131,14267,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,1,2,618780,627038,7178,7274,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714601.1632576,1,3,624142,621168,7239,7207,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762714602.170059,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
