ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762797024.8779912,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,1,1,8,223,788,20306,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,1,2,102,122,9308,11004,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,1,3,123,101,11140,9186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,2,1,10,218,984,19800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,2,2,122,102,11004,9308,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,2,3,95,124,8680,11224,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,3,1,101,123,9186,11140,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797024.8779912,3,2,124,95,11224,8680,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,1,1,8,223,788,20306,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,1,2,102,122,9308,11004,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,1,3,123,101,11140,9186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,2,1,10,218,984,19800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,2,2,122,102,11004,9308,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,2,3,95,124,8680,11224,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,3,1,101,123,9186,11140,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797025.8781397,3,2,124,95,11224,8680,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,2,1,69,4528,6098,391704,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,2,2,2284,2310,197442,199904,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,2,3,2274,2330,196740,201476,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,3,1,2309,2259,199748,195358,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,3,2,2330,2274,201476,196740,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,1,1,74,4483,6480,387958,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,1,2,2310,2284,199904,197442,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797026.877972,1,3,2259,2309,195358,199748,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,2,1,69,4528,6098,391704,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,2,2,2284,2310,197442,199904,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,2,3,2274,2330,196740,201476,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,3,1,2309,2259,199748,195358,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,3,2,2330,2274,201476,196740,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,1,1,74,4483,6480,387958,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762797027.8781419,1,2,2310,2284,199904,197442,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
